task,seed,city,N,model,R2,RMSE,MAE
CityLens Population,41,Beijing,29,Minimum-cost Intermediate,-0.3241167491842447,1.0868890624755185,0.8309679285205532
CityLens Population,41,Beijing,29,Parameter-matched,-0.7112654102374008,1.2356081518478756,0.9834768921756423
CityLens Population,41,Beijing,29,Exact,-0.011086723608465965,0.9497652656577257,0.7446253864692383
CityLens Population,41,Beijing,29,Within-city Global,-0.6651833908662272,1.2188580052814206,0.9369195800012818
CityLens Population,41,Beijing,29,Satellite,-0.6879251706983214,1.2271528874606379,0.9522418003016375
CityLens Population,41,CapeTown,245,Minimum-cost Intermediate,0.3161813262378287,1.6101301790088287,1.0941052735149495
CityLens Population,41,CapeTown,245,Parameter-matched,0.2625788311767926,1.6720463504178795,1.174637452561244
CityLens Population,41,CapeTown,245,Exact,0.4773342017967095,1.4076755032818853,0.9866998810674995
CityLens Population,41,CapeTown,245,Within-city Global,0.30107633352179575,1.6278162711026998,1.1083344985810524
CityLens Population,41,CapeTown,245,Satellite,0.23141025238799795,1.7070168398474102,1.18973234951504
CityLens Population,41,London,197,Minimum-cost Intermediate,0.30703389308926377,0.9771363389412051,0.7163858724871135
CityLens Population,41,London,197,Parameter-matched,0.2640029967691552,1.0070179011443225,0.7568166626151925
CityLens Population,41,London,197,Exact,0.329677303019262,0.961039261155587,0.7010155103986526
CityLens Population,41,London,197,Within-city Global,0.29444294998674725,0.9859734843439049,0.7281353163736324
CityLens Population,41,London,197,Satellite,0.24026643279675142,1.023127658905217,0.7616805201154975
CityLens Population,41,Moscow,205,Minimum-cost Intermediate,-0.004747241194501761,0.6588168297701789,0.5320296844598242
CityLens Population,41,Moscow,205,Parameter-matched,-0.3607243266587552,0.7666927353774519,0.5957026183917218
CityLens Population,41,Moscow,205,Exact,-0.16184313607006806,0.7084513333371049,0.5647004839062182
CityLens Population,41,Moscow,205,Within-city Global,-0.02162590545999965,0.6643274871031096,0.5388526968246565
CityLens Population,41,Moscow,205,Satellite,-0.5569392293756898,0.8201099942057616,0.6220908399754219
CityLens Population,41,Mumbai,105,Minimum-cost Intermediate,-1.143153042438401,1.2880523660132397,1.0404756401328872
CityLens Population,41,Mumbai,105,Parameter-matched,-3.8572421753515496,1.9391071415408987,1.488299457453751
CityLens Population,41,Mumbai,105,Exact,-0.0313343820627483,0.8935249323603488,0.7036198508765574
CityLens Population,41,Mumbai,105,Within-city Global,-1.098901299320246,1.2746851764822424,1.0269669834716113
CityLens Population,41,Mumbai,105,Satellite,-3.9405763637199582,1.9556707276832372,1.494744981200335
CityLens Population,41,Nairobi,119,Minimum-cost Intermediate,0.5143838721309042,1.098104487998784,0.8915336483884823
CityLens Population,41,Nairobi,119,Parameter-matched,0.4891025667348453,1.126325654101458,0.9143264266748268
CityLens Population,41,Nairobi,119,Exact,0.45548205891113813,1.162795152286119,0.9182555474104005
CityLens Population,41,Nairobi,119,Within-city Global,0.508643606107492,1.104575539213392,0.9070587509567724
CityLens Population,41,Nairobi,119,Satellite,0.42497471588209446,1.194924831690414,0.9673844612158309
CityLens Population,41,NewYork,202,Minimum-cost Intermediate,0.22712958753268253,1.572197614356632,1.0505809377839186
CityLens Population,41,NewYork,202,Parameter-matched,0.35805743329089,1.4328537983408864,0.9431492957198196
CityLens Population,41,NewYork,202,Exact,0.3301503863816606,1.463667560866271,0.9195082116373456
CityLens Population,41,NewYork,202,Within-city Global,0.2986665805612462,1.4976697540376671,1.0102723910913598
CityLens Population,41,NewYork,202,Satellite,0.300950874559784,1.4952287550851457,0.9724535871989903
CityLens Population,41,Paris,130,Minimum-cost Intermediate,0.01782045738055338,0.7057858047644808,0.5517273338390709
CityLens Population,41,Paris,130,Parameter-matched,0.01729373229899578,0.7059750294639524,0.5551310719517449
CityLens Population,41,Paris,130,Exact,0.08524360404070563,0.6811303067956623,0.5255762214074289
CityLens Population,41,Paris,130,Within-city Global,-0.22038688854014143,0.7867309646582091,0.590862876151978
CityLens Population,41,Paris,130,Satellite,0.10195593969791272,0.6748795983540545,0.5183378149960316
CityLens Population,41,SanFrancisco,157,Minimum-cost Intermediate,0.36685600606549706,1.8637147191649455,1.2194423145702886
CityLens Population,41,SanFrancisco,157,Parameter-matched,0.26317442931985,2.0105298899411226,1.2892029538541072
CityLens Population,41,SanFrancisco,157,Exact,0.4197335917432585,1.7841933008845037,1.1675284731222193
CityLens Population,41,SanFrancisco,157,Within-city Global,0.3548129958034163,1.8813560525048967,1.2618343611291398
CityLens Population,41,SanFrancisco,157,Satellite,0.25265930729443264,2.024825047809194,1.2787169209020757
CityLens Population,41,SaoPaulo,280,Minimum-cost Intermediate,0.4304577445877231,1.2655308386138195,0.8566586499578223
CityLens Population,41,SaoPaulo,280,Parameter-matched,0.44379034997267286,1.2506305028800642,0.8638011882517075
CityLens Population,41,SaoPaulo,280,Exact,0.5077917805172674,1.1764790233402433,0.8016651016830012
CityLens Population,41,SaoPaulo,280,Within-city Global,0.4722319029620874,1.2182357056954243,0.8506732575269805
CityLens Population,41,SaoPaulo,280,Satellite,0.4141053677977109,1.2835698779207279,0.8959868717714491
CityLens Population,41,Shanghai,19,Minimum-cost Intermediate,0.10659266359216313,1.1963515566100371,1.0499159753699356
CityLens Population,41,Shanghai,19,Parameter-matched,0.07356768864564522,1.2182625909485796,1.0022467119072347
CityLens Population,41,Shanghai,19,Exact,0.144902161566288,1.1704206244845006,0.9674155119075076
CityLens Population,41,Shanghai,19,Within-city Global,0.010556370510045321,1.2590111899942646,1.092006855495728
CityLens Population,41,Shanghai,19,Satellite,0.028940121420192644,1.2472602082235442,1.038710264538814
CityLens Population,41,Sydney,205,Minimum-cost Intermediate,0.25148809434822617,1.613158142373754,1.1489176340928065
CityLens Population,41,Sydney,205,Parameter-matched,0.2334920150491937,1.632435121693758,1.1313911973105635
CityLens Population,41,Sydney,205,Exact,0.3746191105207358,1.4745173641380431,1.0420537150836606
CityLens Population,41,Sydney,205,Within-city Global,0.2206155240524491,1.6460895727770561,1.1526365874236728
CityLens Population,41,Sydney,205,Satellite,0.20628754024522877,1.661151288057237,1.1170093704539266
CityLens Population,41,Tokyo,280,Minimum-cost Intermediate,0.3456015850925984,0.6595254004305205,0.5200935767825253
CityLens Population,41,Tokyo,280,Parameter-matched,0.20003130851627693,0.729200406440955,0.536555532023476
CityLens Population,41,Tokyo,280,Exact,0.3814707541426664,0.6411955896785296,0.5045816292698168
CityLens Population,41,Tokyo,280,Within-city Global,0.2249376548016736,0.7177591307866189,0.5513562933139364
CityLens Population,41,Tokyo,280,Satellite,0.14935819332889444,0.7519410050745169,0.5528847298040644
CityLens Population,42,Beijing,29,Minimum-cost Intermediate,-0.5097510542557286,1.1605791112256765,0.8709564394762184
CityLens Population,42,Beijing,29,Parameter-matched,-0.640698277028048,1.2098636811467474,0.9334813687023534
CityLens Population,42,Beijing,29,Exact,-0.25493015402135377,1.0581125275678738,0.82850362551045
CityLens Population,42,Beijing,29,Within-city Global,-0.5330887455073421,1.1695148120634458,0.8800845351736956
CityLens Population,42,Beijing,29,Satellite,-0.6876242369252357,1.227043490368764,0.9692306832235242
CityLens Population,42,CapeTown,245,Minimum-cost Intermediate,0.41962526553902446,1.4833538425315334,1.0392675948624617
CityLens Population,42,CapeTown,245,Parameter-matched,0.26589402280556185,1.6682836444027263,1.1305453428936596
CityLens Population,42,CapeTown,245,Exact,0.45441357905780566,1.4382099476432098,1.0205348843796795
CityLens Population,42,CapeTown,245,Within-city Global,0.2259632910173105,1.7130549370288866,1.1583677996723913
CityLens Population,42,CapeTown,245,Satellite,0.30351081518700906,1.62497880404427,1.1461032357271168
CityLens Population,42,London,197,Minimum-cost Intermediate,0.3310702042164261,0.9600402431662561,0.6913095570841686
CityLens Population,42,London,197,Parameter-matched,0.30504193274602576,0.9785397409692099,0.7220608271967344
CityLens Population,42,London,197,Exact,0.21707440794508348,1.0386265318241539,0.7538919539942729
CityLens Population,42,London,197,Within-city Global,0.2799857397067401,0.9960238017562164,0.728636196275192
CityLens Population,42,London,197,Satellite,0.27619737005792855,0.9986406638313566,0.7521679365444007
CityLens Population,42,Moscow,205,Minimum-cost Intermediate,0.011078010502206914,0.653607896793404,0.511544591174345
CityLens Population,42,Moscow,205,Parameter-matched,-0.3134500442027708,0.7532567869597216,0.6137490679263466
CityLens Population,42,Moscow,205,Exact,-0.08128917228395105,0.6834507127310377,0.5313006568143895
CityLens Population,42,Moscow,205,Within-city Global,0.04300520995652046,0.6429705189659589,0.5158882557657736
CityLens Population,42,Moscow,205,Satellite,-0.20826805733564124,0.7224668438859516,0.577773989359876
CityLens Population,42,Mumbai,105,Minimum-cost Intermediate,-0.6564874459082128,1.1324029747871598,0.8590497525690007
CityLens Population,42,Mumbai,105,Parameter-matched,-4.025374831659648,1.9723825760966263,1.458099791866579
CityLens Population,42,Mumbai,105,Exact,-0.5380922186574311,1.0911843149849334,0.8051277348607343
CityLens Population,42,Mumbai,105,Within-city Global,-1.5246613918045475,1.398004265491422,1.1076595488219807
CityLens Population,42,Mumbai,105,Satellite,-3.789871114156539,1.9256122538108442,1.4844788726994098
CityLens Population,42,Nairobi,119,Minimum-cost Intermediate,0.34995828938008633,1.2704796933526132,0.9804525370143444
CityLens Population,42,Nairobi,119,Parameter-matched,0.45639347947706366,1.1618215945924182,0.9006139543153457
CityLens Population,42,Nairobi,119,Exact,0.4196774677316799,1.2004161573892496,0.8881657334940221
CityLens Population,42,Nairobi,119,Within-city Global,0.4451108037802608,1.1738166087874529,0.9352073881160472
CityLens Population,42,Nairobi,119,Satellite,0.43959206202964474,1.1796393598815955,0.9433024508025163
CityLens Population,42,NewYork,202,Minimum-cost Intermediate,0.3163735486457582,1.4786426243571131,1.0236336055132174
CityLens Population,42,NewYork,202,Parameter-matched,0.34152166746643187,1.4511908671828901,0.9436481926882189
CityLens Population,42,NewYork,202,Exact,0.30474175733305997,1.4911689957493401,0.9474444758335374
CityLens Population,42,NewYork,202,Within-city Global,0.28654790253264883,1.5105538135461942,0.9991915320529351
CityLens Population,42,NewYork,202,Satellite,0.2978460092194697,1.498545646718947,0.9901797319645401
