task,seed,comparison,design,N,clusters,replicates,R2_difference,R2_CI_low,R2_CI_high,excludes_zero
CityLens Population,41,PM-minus-Satellite,city,2173,13,2000,0.025148794789415452,0.015640614827783214,0.039786671938400194,True
CityLens Population,41,Global-minus-PM,city,2173,13,2000,0.050653607702662584,-0.0005628031932928062,0.14070445867046197,False
CityLens Population,41,Intermediate-minus-Global,city,2173,13,2000,0.0029598315523826635,-0.01991160674311044,0.02395983536848981,False
CityLens Population,41,Exact-minus-Satellite,city,2173,13,2000,0.15136839693044468,0.08503999430727312,0.265267984223355,True
CityLens Population,41,Exact-minus-Global,city,2173,13,2000,0.07556599443836665,0.041658455779055435,0.11270177314874297,True
CityLens Population,41,Exact-minus-Intermediate,city,2173,13,2000,0.07260616288598398,0.03955508360886654,0.10782596716433265,True
CityLens Population,41,PM-minus-Satellite,city-block,2173,130,2000,0.025148794789415452,0.001832428059163473,0.051776594350085005,True
CityLens Population,41,Global-minus-PM,city-block,2173,130,2000,0.050653607702662584,-0.01642070249915203,0.15507966552093336,False
CityLens Population,41,Intermediate-minus-Global,city-block,2173,130,2000,0.0029598315523826635,-0.03081165961125957,0.035627984784969896,False
CityLens Population,41,Exact-minus-Satellite,city-block,2173,130,2000,0.15136839693044468,0.0677996108566983,0.2769408696996153,True
CityLens Population,41,Exact-minus-Global,city-block,2173,130,2000,0.07556599443836665,0.02024735704365208,0.14438483499501015,True
CityLens Population,41,Exact-minus-Intermediate,city-block,2173,130,2000,0.07260616288598398,0.020274406878896645,0.13830829757914628,True
CityLens Population,42,PM-minus-Satellite,city,2173,13,2000,-0.008729579899425244,-0.026615234504260087,0.01120006206720547,False
CityLens Population,42,Global-minus-PM,city,2173,13,2000,0.05559155929197246,-0.0050021297383315575,0.15116840984604654,False
CityLens Population,42,Intermediate-minus-Global,city,2173,13,2000,0.02501011449705426,-0.03730530257323068,0.08891595975410892,False
CityLens Population,42,Exact-minus-Satellite,city,2173,13,2000,0.1222999176132028,0.05249983363486201,0.21757075816867216,True
CityLens Population,42,Exact-minus-Global,city,2173,13,2000,0.07543793822065559,0.027650853053295114,0.12067287146902635,True
CityLens Population,42,Exact-minus-Intermediate,city,2173,13,2000,0.05042782372360133,0.006482802200215851,0.09141569013918238,True
CityLens Population,42,PM-minus-Satellite,city-block,2173,130,2000,-0.008729579899425244,-0.04208036880630365,0.024908209583450875,False
CityLens Population,42,Global-minus-PM,city-block,2173,130,2000,0.05559155929197246,-0.008867514554219155,0.15192131728650468,False
CityLens Population,42,Intermediate-minus-Global,city-block,2173,130,2000,0.02501011449705426,-0.05965107599790843,0.09798639788119008,False
CityLens Population,42,Exact-minus-Satellite,city-block,2173,130,2000,0.1222999176132028,0.05063596922787127,0.22550203373979838,True
CityLens Population,42,Exact-minus-Global,city-block,2173,130,2000,0.07543793822065559,0.020838632525703542,0.13514118203787165,True
CityLens Population,42,Exact-minus-Intermediate,city-block,2173,130,2000,0.05042782372360133,-0.009977657864731048,0.11368820477373348,False
CityLens Population,43,PM-minus-Satellite,city,2173,13,2000,0.018881653462459513,0.0073448492531184946,0.03404334689929554,True
CityLens Population,43,Global-minus-PM,city,2173,13,2000,0.07676243167165375,0.02075325941364815,0.17099826588848566,True
CityLens Population,43,Intermediate-minus-Global,city,2173,13,2000,0.00041220394174346087,-0.01980317927589408,0.017385751611451738,False
CityLens Population,43,Exact-minus-Satellite,city,2173,13,2000,0.11468981769905051,0.05199493237723519,0.23007272311663862,True
CityLens Population,43,Exact-minus-Global,city,2173,13,2000,0.019045732564937246,-0.015443697678645632,0.05405501198942181,False
CityLens Population,43,Exact-minus-Intermediate,city,2173,13,2000,0.018633528623193785,-0.02358324002376404,0.06691037313906871,False
CityLens Population,43,PM-minus-Satellite,city-block,2173,130,2000,0.018881653462459513,-0.006310122030808914,0.0522368711724151,False
CityLens Population,43,Global-minus-PM,city-block,2173,130,2000,0.07676243167165375,0.01496859538363658,0.18271276375766315,True
CityLens Population,43,Intermediate-minus-Global,city-block,2173,130,2000,0.00041220394174346087,-0.026925783000483986,0.029901266676653885,False
CityLens Population,43,Exact-minus-Satellite,city-block,2173,130,2000,0.11468981769905051,0.04064393528051191,0.24683217983755043,True
CityLens Population,43,Exact-minus-Global,city-block,2173,130,2000,0.019045732564937246,-0.025780611758338536,0.06186110759473555,False
CityLens Population,43,Exact-minus-Intermediate,city-block,2173,130,2000,0.018633528623193785,-0.04046241095144546,0.0764948499414985,False
CityLens Population,44,PM-minus-Satellite,city,2173,13,2000,0.020240229846890667,-0.0018080954655999113,0.0432243478205068,False
CityLens Population,44,Global-minus-PM,city,2173,13,2000,0.04608198293488075,-0.005724888446942114,0.12681624858223747,False
CityLens Population,44,Intermediate-minus-Global,city,2173,13,2000,0.039130535365783925,0.003648502406571932,0.06800479999789587,True
CityLens Population,44,Exact-minus-Satellite,city,2173,13,2000,0.1269047616616812,0.05433380477844863,0.22792211981931057,True
CityLens Population,44,Exact-minus-Global,city,2173,13,2000,0.06058254887990977,0.03382999154712908,0.08392113786838605,True
CityLens Population,44,Exact-minus-Intermediate,city,2173,13,2000,0.021452013514125845,0.005690408739578492,0.046434535287182915,True
CityLens Population,44,PM-minus-Satellite,city-block,2173,130,2000,0.020240229846890667,-0.012851150463436892,0.05364277574426666,False
CityLens Population,44,Global-minus-PM,city-block,2173,130,2000,0.04608198293488075,-0.020311619585206057,0.14303658505913747,False
CityLens Population,44,Intermediate-minus-Global,city-block,2173,130,2000,0.039130535365783925,-0.009913868477103599,0.0828108962620805,False
CityLens Population,44,Exact-minus-Satellite,city-block,2173,130,2000,0.1269047616616812,0.043304500946844064,0.23818411705783052,True
CityLens Population,44,Exact-minus-Global,city-block,2173,130,2000,0.06058254887990977,0.01901464709217067,0.10466346405314607,True
CityLens Population,44,Exact-minus-Intermediate,city-block,2173,130,2000,0.021452013514125845,-0.0029120200929964343,0.05891632427004252,False
CityLens Population,45,PM-minus-Satellite,city,2173,13,2000,-0.0068334549772365305,-0.033874677301917774,0.017588410449131557,False
CityLens Population,45,Global-minus-PM,city,2173,13,2000,0.07774145089240148,0.02145905548885283,0.18894273929082275,True
CityLens Population,45,Intermediate-minus-Global,city,2173,13,2000,0.02120751580319502,-0.008582606088796053,0.04444031737036164,False
CityLens Population,45,Exact-minus-Satellite,city,2173,13,2000,0.08967275057632718,0.021927338812197876,0.19100373438441692,True
CityLens Population,45,Exact-minus-Global,city,2173,13,2000,0.01876475466116223,-0.01732168828919064,0.048879228434218554,False
CityLens Population,45,Exact-minus-Intermediate,city,2173,13,2000,-0.00244276114203279,-0.034693897678537,0.03612816111252155,False
CityLens Population,45,PM-minus-Satellite,city-block,2173,130,2000,-0.0068334549772365305,-0.042917639862553085,0.022810563414841317,False
CityLens Population,45,Global-minus-PM,city-block,2173,130,2000,0.07774145089240148,0.006734724851019273,0.2055872959449651,True
CityLens Population,45,Intermediate-minus-Global,city-block,2173,130,2000,0.02120751580319502,-0.017047156748410404,0.05764107619912006,False
CityLens Population,45,Exact-minus-Satellite,city-block,2173,130,2000,0.08967275057632718,0.012650136877035903,0.2007641744640074,True
CityLens Population,45,Exact-minus-Global,city-block,2173,130,2000,0.01876475466116223,-0.028485067151528157,0.06006608505827985,False
CityLens Population,45,Exact-minus-Intermediate,city-block,2173,130,2000,-0.00244276114203279,-0.04667909171486277,0.04500416346045474,False
CityLens Healthcare overlap,41,PM-minus-Satellite,city,2204,13,2000,0.0013851945740419591,-0.008481400199350567,0.011766166020462838,False
CityLens Healthcare overlap,41,Global-minus-PM,city,2204,13,2000,-0.0037955691545972225,-0.027364463624834266,0.01941463901118795,False
CityLens Healthcare overlap,41,Intermediate-minus-Global,city,2204,13,2000,0.0017963214102719727,-0.014951828199027834,0.01952520223794212,False
CityLens Healthcare overlap,41,Exact-minus-Intermediate,city,2204,13,2000,0.00631566340163614,-0.015123696404903677,0.02124109174067168,False
CityLens Healthcare overlap,41,Exact-minus-Satellite,city,2204,13,2000,0.005701610231352849,-0.02457595288261485,0.03452143727645195,False
CityLens Healthcare overlap,41,Exact-minus-Global,city,2204,13,2000,0.008111984811908113,-0.009089327690121562,0.025536024499685655,False
CityLens Healthcare overlap,41,PM-minus-Satellite,city-block,2204,130,2000,0.0013851945740419591,-0.015361625766084058,0.018239100693933013,False
CityLens Healthcare overlap,41,Global-minus-PM,city-block,2204,130,2000,-0.0037955691545972225,-0.03313547102886557,0.027421408492238647,False
CityLens Healthcare overlap,41,Intermediate-minus-Global,city-block,2204,130,2000,0.0017963214102719727,-0.025794435503212122,0.03158946836777773,False
CityLens Healthcare overlap,41,Exact-minus-Intermediate,city-block,2204,130,2000,0.00631566340163614,-0.01873604319745478,0.028060874620316624,False
CityLens Healthcare overlap,41,Exact-minus-Satellite,city-block,2204,130,2000,0.005701610231352849,-0.034665060990834336,0.045175888162666225,False
CityLens Healthcare overlap,41,Exact-minus-Global,city-block,2204,130,2000,0.008111984811908113,-0.020714068149793364,0.0368756234906206,False
CityLens Healthcare overlap,42,PM-minus-Satellite,city,2204,13,2000,0.004697988285075283,-0.00966564990430939,0.019496065022137143,False
CityLens Healthcare overlap,42,Global-minus-PM,city,2204,13,2000,0.003084544716296267,-0.02154904473838707,0.025219757649172867,False
