task,seed,city,N,model,R2,RMSE,MAE
CityLens Population,41,Beijing,29,No-Privilege,-1.018575019197253,1.3419753111496662,1.0563367870288458
CityLens Population,41,Beijing,29,Paired KD,-0.3504612017737203,1.0976481117622847,0.7828255237620627
CityLens Population,41,Beijing,29,Satellite-teacher KD,-0.25401613440850546,1.0577271229437704,0.8048558272169682
CityLens Population,41,Beijing,29,Global-shuffled KD,-0.599683544650069,1.1946456815827848,0.9206237877467924
CityLens Population,41,CapeTown,245,No-Privilege,0.5236055497245833,1.3439213667325511,1.0114247676126389
CityLens Population,41,CapeTown,245,Paired KD,0.4570375623927543,1.4347472630173947,1.029013511373968
CityLens Population,41,CapeTown,245,Satellite-teacher KD,0.4438962420522109,1.452006053342167,1.0463053435209013
CityLens Population,41,CapeTown,245,Global-shuffled KD,0.467088234169004,1.4214060722198472,1.0353980024591503
CityLens Population,41,London,197,No-Privilege,0.05505103727350469,1.1410465024749308,0.7809776227289995
CityLens Population,41,London,197,Paired KD,0.15992749732662015,1.0758644383979732,0.7295919280250658
CityLens Population,41,London,197,Satellite-teacher KD,0.24025860945654853,1.0231329267092777,0.7364634431290834
CityLens Population,41,London,197,Global-shuffled KD,0.10410428592206966,1.1110354014103703,0.7731033655402526
CityLens Population,41,Moscow,205,No-Privilege,-0.45911078672750016,0.7939267001386309,0.6153280676970233
CityLens Population,41,Moscow,205,Paired KD,-0.4178434912297255,0.7826190601184679,0.6049040123254553
CityLens Population,41,Moscow,205,Satellite-teacher KD,-0.4400996086099067,0.7887375913655142,0.6058380657871623
CityLens Population,41,Moscow,205,Global-shuffled KD,-0.2849295237174212,0.745033717339901,0.5812429712098311
CityLens Population,41,Mumbai,105,No-Privilege,-2.6663704762973413,1.6847097942570148,1.192293627453172
CityLens Population,41,Mumbai,105,Paired KD,-2.3481842736991685,1.6099470893990357,1.1534555338390453
CityLens Population,41,Mumbai,105,Satellite-teacher KD,-2.6909302227417187,1.6903430200598384,1.2361770527311808
CityLens Population,41,Mumbai,105,Global-shuffled KD,-2.73921614108315,1.7013638939582305,1.2216453288789653
CityLens Population,41,Nairobi,119,No-Privilege,0.4466745539661148,1.1721614576445265,0.926928887794087
CityLens Population,41,Nairobi,119,Paired KD,0.45778724663149917,1.1603312261029,0.9156643253317807
CityLens Population,41,Nairobi,119,Satellite-teacher KD,0.42623769659567023,1.1936118488963925,0.9482280135708865
CityLens Population,41,Nairobi,119,Global-shuffled KD,0.40403334471791263,1.2164887482800164,0.9689511007942526
CityLens Population,41,NewYork,202,No-Privilege,0.3408508973556855,1.4519298191272874,0.965002779200875
CityLens Population,41,NewYork,202,Paired KD,0.3495762593233479,1.4422879812116036,0.9633171310240428
CityLens Population,41,NewYork,202,Satellite-teacher KD,0.31676930745501464,1.478214561223868,1.0149877299508454
CityLens Population,41,NewYork,202,Global-shuffled KD,0.3450002801117994,1.4473526120776798,0.9707343098215911
CityLens Population,41,Paris,130,No-Privilege,0.10896872916430977,0.6722393802740765,0.50998822268112
CityLens Population,41,Paris,130,Paired KD,0.20172935281558546,0.6362862779020243,0.4863069493302151
CityLens Population,41,Paris,130,Satellite-teacher KD,0.22679705500862812,0.626216096884964,0.490541425586147
CityLens Population,41,Paris,130,Global-shuffled KD,0.18736573026294945,0.6419852407552004,0.49329466028402746
CityLens Population,41,SanFrancisco,157,No-Privilege,0.14855299339836892,2.1612599263498184,1.4248818011516908
CityLens Population,41,SanFrancisco,157,Paired KD,0.2956921449709192,1.9656647765686182,1.2729252218850635
CityLens Population,41,SanFrancisco,157,Satellite-teacher KD,0.25504607022462156,2.0215891460546307,1.2776088718669887
CityLens Population,41,SanFrancisco,157,Global-shuffled KD,0.28330292001911683,1.98287805777675,1.25468788470634
CityLens Population,41,SaoPaulo,280,No-Privilege,0.4411554759607247,1.2535892437623368,0.8732776560220535
CityLens Population,41,SaoPaulo,280,Paired KD,0.40560724897509093,1.2928451464231878,0.8699778869187236
CityLens Population,41,SaoPaulo,280,Satellite-teacher KD,0.4089450567905314,1.289210055159703,0.8833664252884582
CityLens Population,41,SaoPaulo,280,Global-shuffled KD,0.42135226821728533,1.275606973381997,0.8572199122201092
CityLens Population,41,Shanghai,19,No-Privilege,-0.041794586810798506,1.2918887312209126,1.0208801252176603
CityLens Population,41,Shanghai,19,Paired KD,-0.09204114039780054,1.3226762690984992,1.0275348619804767
CityLens Population,41,Shanghai,19,Satellite-teacher KD,-0.2604545731386423,1.4210117235083404,1.0936192025843523
CityLens Population,41,Shanghai,19,Global-shuffled KD,-0.16803120862714827,1.3679218454212205,1.0658629323700737
CityLens Population,41,Sydney,205,No-Privilege,0.1258016728356548,1.743341922542936,1.2295601719243006
CityLens Population,41,Sydney,205,Paired KD,0.24014058017522744,1.6253399647550044,1.1037603110067604
CityLens Population,41,Sydney,205,Satellite-teacher KD,0.19463023930730405,1.673305535854744,1.1313358529425248
CityLens Population,41,Sydney,205,Global-shuffled KD,0.1855634158840821,1.682698180706897,1.149804207976292
CityLens Population,41,Tokyo,280,No-Privilege,0.16151067409204733,0.7465504749413744,0.5526610264307843
CityLens Population,41,Tokyo,280,Paired KD,0.27756424543515645,0.6929629621307867,0.5355126668138401
CityLens Population,41,Tokyo,280,Satellite-teacher KD,0.23811868730688956,0.7116297040356095,0.5492121124769612
CityLens Population,41,Tokyo,280,Global-shuffled KD,0.28224264988817704,0.690715546574722,0.5338528169422004
CityLens Population,42,Beijing,29,No-Privilege,-0.9442122966573896,1.3170247050870425,1.0416867711094937
CityLens Population,42,Beijing,29,Paired KD,-0.5775657953216145,1.1863581538564105,0.8935766733756317
CityLens Population,42,Beijing,29,Satellite-teacher KD,-0.6075849835394782,1.1975924495126582,0.936628508075993
CityLens Population,42,Beijing,29,Global-shuffled KD,-0.6791928027331915,1.223974474614053,0.9369322558091654
CityLens Population,42,CapeTown,245,No-Privilege,0.4945865827409044,1.3842479705749047,0.9972450351149411
CityLens Population,42,CapeTown,245,Paired KD,0.5004045751118471,1.3762576254237957,0.9781133141745425
CityLens Population,42,CapeTown,245,Satellite-teacher KD,0.4526387758479091,1.4405473107428177,1.0324148858426192
CityLens Population,42,CapeTown,245,Global-shuffled KD,0.4900229418641714,1.3904834741071563,0.9938118290922227
CityLens Population,42,London,197,No-Privilege,0.2159065200942053,1.0394009012537675,0.7331691213238317
CityLens Population,42,London,197,Paired KD,0.26585620771098506,1.0057492867132882,0.7079541835615494
CityLens Population,42,London,197,Satellite-teacher KD,0.3068016813511668,0.9773000435725602,0.714280005256569
CityLens Population,42,London,197,Global-shuffled KD,0.20903095874193567,1.0439481055588145,0.7215132608029083
CityLens Population,42,Moscow,205,No-Privilege,-0.34221322764598017,0.7614598885843927,0.6039069716305498
CityLens Population,42,Moscow,205,Paired KD,-0.32946318600138946,0.7578346033070287,0.6039751587992129
CityLens Population,42,Moscow,205,Satellite-teacher KD,-0.37443672800545347,0.7705461408017686,0.6099494685433886
CityLens Population,42,Moscow,205,Global-shuffled KD,-0.24985827184898923,0.7347957878650364,0.5726193558404784
CityLens Population,42,Mumbai,105,No-Privilege,-1.7217850040726606,1.451556134954174,1.070419124546633
CityLens Population,42,Mumbai,105,Paired KD,-2.2049346701049677,1.5751304156184935,1.1336502011412037
CityLens Population,42,Mumbai,105,Satellite-teacher KD,-2.4163662332573885,1.6262568449354882,1.1764604524236184
CityLens Population,42,Mumbai,105,Global-shuffled KD,-2.423836030348439,1.6280337585993214,1.187939179442926
CityLens Population,42,Nairobi,119,No-Privilege,0.3875298626648147,1.2332172043068323,0.9896665639720716
CityLens Population,42,Nairobi,119,Paired KD,0.40754979292628524,1.2128945468239074,0.9652872186137744
CityLens Population,42,Nairobi,119,Satellite-teacher KD,0.44302621309765755,1.176019420946973,0.9410448069551887
CityLens Population,42,Nairobi,119,Global-shuffled KD,0.41453220643908184,1.2057259845697643,0.962351619051244
CityLens Population,42,NewYork,202,No-Privilege,0.2802537912730636,1.5172022743660254,1.0304406993957105
